date,open,high,low,close,volume
2007-06-29,17.3000,18.2300,16.4857,17.4343,5819885400
2007-05-31,14.2271,17.4529,14.0786,17.3129,4341267000
2007-04-30,13.4486,14.6429,12.8000,14.2571,3364935000
2007-03-30,12.0043,13.8329,11.9643,13.2729,3979661000
2007-02-28,12.3186,12.9729,11.8371,12.0871,3430588700
2007-01-31,12.3271,13.9714,11.7000,12.2471,6802445300
2006-12-29,13.1143,13.1900,10.9671,12.1200,4222698200
2006-11-30,11.5857,13.3086,11.1129,13.0943,3458721000
2006-10-31,10.7286,11.8000,10.3714,11.5829,3596989200
2006-09-29,9.7829,11.1114,9.6886,10.9971,4430389600
2006-08-31,9.6029,10.0000,8.9400,9.6929,4471911500
2006-07-31,8.2171,9.8043,7.1657,9.7086,4369935500
2006-06-30,8.5500,9.0143,7.9157,8.1814,4484155900
2006-05-31,10.1100,10.5429,8.3843,8.5386,3902194800
2006-04-28,9.0957,10.2929,8.7214,10.0557,5029820600
2006-03-31,9.8343,9.9986,8.2386,8.9600,5798158100
2006-02-28,10.7071,10.9229,8.9857,9.7843,4690174300
2006-01-31,10.3400,12.3429,10.1243,10.7871,5469592800
2005-12-30,9.8500,10.7800,9.8300,10.2700,3266041100
2005-11-30,8.1771,10.1529,8.1243,9.6886,3364106900
2005-10-31,7.7371,8.2829,6.8386,8.2271,4660861800
2005-09-30,6.7143,7.7943,6.5843,7.6586,3086942600
2005-08-31,6.0814,6.9043,6.0029,6.6986,2350201700
2005-07-29,5.2614,6.3400,5.1843,6.0929,2523561600
2005-06-30,5.6986,5.8229,5.0743,5.2586,2831798900
2005-05-31,5.1729,5.8486,4.7300,5.6800,3214573600
2005-04-29,6.0129,6.3500,4.8571,5.1514,4843879600
2005-03-31,6.4271,6.4443,5.5471,5.9529,3668980000
2005-02-28,5.5036,6.4914,5.4700,6.4086,5362236600
2005-01-31,4.6271,5.5636,4.4714,5.4929,6427061200
2004-12-31,4.8421,4.8536,4.4000,4.6000,3987153800
2004-11-30,3.7500,4.9693,3.7171,4.7893,4359901000
2004-10-29,2.7943,3.8000,2.6893,3.7429,4023591600
2004-09-30,2.4500,2.8050,2.4421,2.7679,1918376600
2004-08-31,2.2271,2.5129,2.1214,2.4636,2002841400
2004-07-30,2.2929,2.4021,2.0529,2.3100,2424144800
2004-06-30,1.9850,2.4421,1.9721,2.3243,2056808600
2004-05-28,1.8571,2.0557,1.8214,2.0043,1326068800
2004-04-30,1.9207,2.1129,1.8207,1.8414,2232543600
2004-03-31,1.7214,2.0100,1.6857,1.9314,2906528800
2004-02-27,1.6043,1.7214,1.5500,1.7086,1230507600
2004-01-30,1.5393,1.7743,1.5129,1.6114,1981950600
2003-12-31,1.5029,1.5643,1.3750,1.5264,1363468400
2003-11-28,1.6307,1.6643,1.4179,1.4936,1243526200
2003-10-31,1.4793,1.7864,1.4421,1.6350,1760047800
2003-09-30,1.6186,1.6657,1.4393,1.4800,1336871200
2003-08-29,1.5000,1.6321,1.3871,1.6150,1076891200
2003-07-31,1.3479,1.5407,1.3221,1.5057,1304567600
2003-06-30,1.2929,1.4064,1.1879,1.3614,1528333800
2003-05-30,1.0179,1.3579,1.0000,1.2821,2702886200
2003-04-30,1.0143,1.0679,0.9086,1.0157,1943835600
2003-03-31,1.0721,1.0829,1.0029,1.0100,1007101200
2003-02-28,1.0293,1.0929,0.9857,1.0721,1028575800
2003-01-31,1.0257,1.0986,0.9686,1.0257,1511458200
2002-12-31,1.1357,1.1500,0.9843,1.0236,1132609800
2002-11-29,1.1386,1.2414,1.0721,1.1071,1132930400
2002-10-31,1.0421,1.1743,0.9543,1.1479,1652858200
2002-09-30,1.0350,1.0850,1.0036,1.0357,1322959400
2002-08-30,1.0793,1.1607,0.9979,1.0536,1287921600
2002-07-31,1.2650,1.3421,0.9857,1.0900,2029603800
2002-06-28,1.6707,1.6750,1.1414,1.2657,2177004200
2002-05-31,1.7350,1.8557,1.5814,1.6643,1494039400
2002-04-30,1.6700,1.8693,1.6429,1.7336,1605709000
2002-03-28,1.5664,1.8071,1.5586,1.6907,1329645800
2002-02-28,1.7386,1.8557,1.4957,1.5500,1959356000
2002-01-31,1.5750,1.7664,1.4464,1.7657,2128844200
2001-12-31,1.5043,1.7164,1.4350,1.5643,1157459800
2001-11-30,1.2607,1.5393,1.2321,1.5214,1342436200
2001-10-31,1.1064,1.3871,1.0593,1.2543,1886061800
2001-09-28,1.3214,1.3629,1.0486,1.1079,1382880800
2001-08-31,1.3579,1.4214,1.2343,1.3250,1282339800
2001-07-31,1.6886,1.8014,1.2750,1.3421,2163775600
2001-06-29,1.4379,1.7929,1.3821,1.6607,1909566400
2001-05-31,1.8150,1.9071,1.3786,1.4250,1867108600
2001-04-30,1.5779,1.9371,1.3393,1.8207,2789747800
2001-03-30,1.2723,1.6964,1.2277,1.5764,2699765600
2001-02-28,1.4777,1.5670,1.2857,1.3036,1755941600
2001-01-31,1.0625,1.6071,1.0313,1.5446,3427365200
2000-12-29,1.2143,1.2500,0.9732,1.0625,2214742600
2000-11-30,1.3884,1.6429,1.1518,1.1786,2122093400
2000-10-31,1.9063,1.9107,1.2500,1.3973,5476447200
2000-09-29,4.3795,4.5804,1.8125,1.8393,3629232600
2000-08-31,3.5938,4.3929,3.1607,4.3527,1409021600
2000-07-31,3.7232,4.3304,3.3482,3.6295,1436692600
2000-06-30,2.9196,4.1161,2.8705,3.7411,2026301200
2000-05-31,4.4598,4.5089,2.9196,3.0000,2451937600
2000-04-28,4.8393,4.9821,3.7455,4.4308,2165601200
2000-03-31,4.2344,5.3705,4.0714,4.8504,2174589200
2000-02-29,3.7143,4.2835,3.4643,4.0938,1829945600
2000-01-31,3.7455,4.3393,3.0893,3.7054,3138794400
1999-12-31,3.6071,4.2143,3.2522,3.6719,2354553600
1999-11-30,2.8571,3.7054,2.7612,3.4955,2156232400
1999-10-29,2.2188,2.8951,2.1250,2.8616,3617124000
1999-09-30,2.3929,2.8616,2.0513,2.2612,4741867200
